0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,pca_1,ica_1,pca_2,ica_2,pca_3,ica_3,pca_4,ica_4,pca_5,ica_5,pca_6,ica_6,pca_7,ica_7,pca_8,ica_8,pca_9,ica_9,pca_10,ica_10
32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-4205.923424925478,-0.01684096940098956,0.8624457171105899,0.03221985763231153,-0.18156148214844373,0.0033305050194076986,13.142940598828561,-0.004259870905416499,2.3225142452142165,0.004880857503125003,19.81260062849773,0.01571060026081511,-2.7544076681900487,-0.05576564912145683,4.097243055224367,-0.02200779376168523,1.6440023944990036,0.0069093406968074225,-0.49650821297563863,-0.0046869467825884446
32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-4199.915451564406,-0.008309907022337745,0.7844137469173579,-0.0021968967193821175,1.6301181615700997,0.008504925184101264,11.348872407173866,-0.004422373371922145,2.752782385345043,0.00612078945534611,23.79919655972032,0.024257091259169136,-4.515198823938848,-0.06433334129192399,-0.481383243253179,-0.02022602095998015,0.9251886880238825,0.005627828425490666,-0.6202231735007241,0.004303548742457816
20,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,-4198.917130857171,-0.021073594786545885,16.435269809443795,0.012694760119447987,12.328815501158326,0.006658427193869667,11.419324640668234,0.002813516800937032,13.012690658671506,0.025270915163725448,22.552714215371118,0.013493962202676145,-2.2251944494402562,-0.06162891568092985,1.134341121095024,-0.023278046990514743,1.6936931209967083,-0.011722031682507737,-0.42965114116389574,0.01749667153207838
20,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,-4196.918465104125,-0.02189885185737326,16.389726593374572,-0.013083428051018217,13.542439140715837,0.006078705041908708,7.03101243149144,0.00769504724442918,-5.636712139713236,-0.015963241688833094,23.33927684340669,0.024586157224011952,-4.360409084101086,-0.06290621653762157,-1.921483244544639,-0.01930571709569657,2.20726020546347,-0.013093065538518503,0.22018766475386264,0.014089692944109266
20,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,-4192.950636817636,-0.023804833077863213,16.814245712280716,-0.011094547739193546,12.718697779889213,-0.014240345134981763,9.909809050353676,0.02267123415994371,2.4009214659444895,0.0030783446514501935,8.051289812777837,-0.01722628377937235,3.7246072021865646,-0.03125905296404194,-1.7817969994036533,-0.022070803890472328,2.1650205014243378,-0.013047515964720289,1.2915692788585331,0.010964339955021458
40,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-4187.959356177274,-0.00017702228354560864,-9.505328390332245,0.010494978887701886,9.435120279755791,-0.01286926455525621,-4.242152246415767,0.018521762953014137,7.335903455933636,0.013573812318762053,6.416550687973304,0.0009297220350876199,0.27486642188994315,-0.026914553948339224,1.0857655670491948,0.01408640576391268,-0.1806267472630624,0.0037843478565659887,1.0275190658552886,0.008065036215242585
9,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-4181.954528317764,-0.013511058362899073,23.368021451628362,-0.016090213697572013,0.8157442196808481,-0.016476916619578428,3.9718950529701664,0.020255720389074746,7.377944283062122,0.014040031471036725,5.915250411276424,0.002518373149819622,-0.355155952168267,-0.027348397410492973,-2.228744909164368,-0.015200263403840045,1.888556116348642,-0.027079749245539814,1.8514504123905264,-0.004733758374680503
36,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,-4180.957866290226,0.018026005499435494,-4.776659218289457,-0.016986672448609155,0.5379426938377796,-0.014387619924966299,3.8036903769766255,-0.014651887440240288,-11.799638065227727,-0.0233586920094262,6.307224953322357,0.010128773949671177,-2.2864023662371626,-0.026935058564675127,-2.3566357725425258,-0.0057431348981413265,-1.8515951399369426,0.01355843795630685,-1.1903409420278297,0.010898616429776176
43,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,-4178.956115406708,0.020773037299820704,-9.796855381623542,0.0001812270274528416,1.8549171116830523,-0.01422958078352333,12.773911469803162,-0.01988728025719908,-5.591133611676736,-0.008188331464111652,5.975838576873029,0.005335859604174319,-1.3575792163836153,-0.026259352290705713,-0.3588758444315972,-0.017818945605638094,-2.5423477996630393,0.025662761868866884,-1.920998836463523,0.01666514007334836
31,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,-4175.959967737228,0.00025322998547770074,-3.335127077708686,0.015016558845484924,-2.8522687562704117,-0.014340035371380394,-6.876499127052296,0.011193573890791573,-7.146361794085091,-0.016786592590787314,6.200487099869491,-0.03561904480356905,6.824434038073999,-0.026297926701415855,2.0511061417128045,0.014770831105583698,-0.0001036356396068753,0.00027410486209138076,1.061666256503432,-0.00979069364006181
